Nombre,Alias,Posición,Club,Nación,Liga,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Precio
Saulo Guerra,Guerra,RM++,Nacional Potosí,Bolivia,Sudamericana,64,68,56,62,63,59,59,-1
Matthew Guillaumier,Guillaumier,CDM++,Stal Mielec,Malta,PKO BP Ekstraklasa,64,67,59,64,64,60,67,-1
Thomas Gundelund,Gundelund,RB++,Vejle Boldklub,Denmark,3F Superliga,64,71,41,57,62,60,60,-1
Niklas Gunnarsson,Gunnarsson,CB++,Yverdon Sport FC,Norway,CSSL,64,52,49,55,56,62,76,-1
Thomas Gutierrez,Gutierrez,CB++,S. Ameliano,Venezuela,Sudamericana,64,61,35,52,49,64,65,-1
Jean Gutiérrez,Gutiérrez,CB++,Dep. Táchira,Venezuela,Libertadores,64,53,25,44,46,64,67,-1
Leon Guwara,Guwara,LB++,FC Ingolstadt 04,Gambia,3. Liga,64,80,39,54,64,60,69,-1
Callum Guy,Guy,CDM++,Carlisle United,England,EFL League Two,64,66,54,63,62,60,68,-1
Nicholas Hagen,Hagen,GK++,Columbus Crew,Guatemala,MLS,64,64,61,60,64,32,63,-1
Jetmir Haliti,Haliti,CB++,Jagiellonia,Kosovo,PKO BP Ekstraklasa,64,89,31,47,61,63,70,-1
Dan Happe,Happe,CB++,Leyton Orient,England,EFL League One,64,54,28,44,46,63,81,-1
Vincent Harper,Harper,LB++,Exeter City,Kenya,EFL League One,64,90,45,55,66,55,74,-1
Shayon Harrison,Harrison,ST++,Politehnica Iași,England,SUPERLIGA,64,87,62,45,66,22,60,-1
Alex Hartridge,Hartridge,CB++,Wycombe,England,EFL League One,64,70,28,50,54,63,75,-1
Daniel Harvie,Harvie,LB++,Wycombe,Scotland,EFL League One,64,75,46,56,61,57,70,-1
Ajdin Hasić,Hasić,RM++,Cracovia,Bosnia and Herzegovina,PKO BP Ekstraklasa,64,78,59,61,72,38,41,-1
Jessé Hautier,Hautier,RM++,Yverdon Sport FC,Switzerland,CSSL,64,60,54,60,65,30,55,-1
Lucien Hawryluk,Hawryluk,GK++,SV Waldhof,Germany,3. Liga,64,64,64,63,67,28,62,-1
Zakaria Hawsawi,Hawsawi,LB++,Al Raed,Saudi Arabia,ROSHN Saudi League,64,91,34,51,71,55,63,-1
Aaron Hayden,Hayden,CB++,Carlisle United,England,EFL League Two,64,64,30,44,52,62,75,-1
Justin Heekeren,Heekeren,GK++,FC Schalke 04,Germany,Bundesliga 2,64,64,62,68,66,39,63,-1
Melker Heier,Heier,RW++,IK Sirius,Sweden,Allsvenskan,64,73,62,59,66,52,63,-1
Karl Hein,Hein,GK++,R. Valladolid CF,Estonia,LALIGA EA SPORTS,64,61,63,56,66,35,64,-1
Mark Helm,Helm,CAM++,Fleetwood Town,England,EFL League Two,64,70,60,61,66,50,57,-1
Zach Hemming,Hemming,GK++,Leyton Orient,England,EFL League One,64,65,64,61,63,28,64,-1
Callum Hendry,Hendry,ST++,MK Dons,Scotland,EFL League Two,64,73,63,55,65,31,72,-1
Ben Heneghan,Heneghan,CB++,Port Vale,England,EFL League Two,64,43,28,42,42,63,74,-1
Yul Heo,Heo Yul,CB++,GwangJu FC,Korea Republic,K League 1,64,82,60,43,58,60,76,-1
Gerónimo Heredia,Heredia,RB++,Belgrano,Argentina,Sudamericana,64,75,43,54,58,59,62,-1
Ronald Hernández,Hernández,RB++,Atlanta United,Venezuela,MLS,64,82,33,52,61,59,65,-1
José Manuel Hernández,Hernández,RM++,Caracas F.C.,Venezuela,Libertadores,64,71,62,61,65,38,59,-1
Simen Hestnes,Hestnes,CM++,KFUM-Kameratene,Norway,Eliteserien,64,72,52,62,64,54,68,-1
Santiago Hidalgo,Hidalgo,ST++,Independiente,Argentina,LPF,64,77,63,56,66,33,48,-1
Ben Hinchliffe,Hinchliffe,GK++,Stockport,England,EFL League One,64,65,60,62,66,40,65,-1
Otto Hindrich,Hindrich,GK++,CFR 1907 Cluj,Romania,SUPERLIGA,64,64,63,54,65,26,63,-1
Brendan Hines-Ike,Hines-Ike,CB++,Austin FC,United States,MLS,64,53,53,54,58,64,73,-1
Patrick Hoban,Hoban,ST++,Derry City,Republic of Ireland,SSE Airtricity PD,64,51,64,52,59,38,72,-1
Joe Hodge,Hodge,CDM++,Wolves,Republic of Ireland,Premier League,64,66,53,61,65,59,60,-1
Jonas Hofmann,Hofmann,CM++,Energie Cottbus,Germany,3. Liga,64,68,52,64,65,61,57,-1
Kasper Høgh,Høgh,ST++,FK Bodø/Glimt,Denmark,Eliteserien,64,77,62,50,62,28,64,-1
Oscar Højlund,Højlund,CM++,Frankfurt,Denmark,Bundesliga,64,74,56,60,66,61,66,-1
Odin Thiago Holm,Holm,CM++,Celtic,Norway,cinch Prem,64,78,55,64,64,55,59,-1
Dinko Horkaš,Horkaš,GK++,UD Las Palmas,Croatia,LALIGA EA SPORTS,64,64,61,61,66,48,62,-1
Diego Hormigo Iturralde,Hormigo,LB++,Sevilla FC,Spain,LALIGA EA SPORTS,64,67,26,53,51,62,57,-1
Santeri Hostikka,Hostikka,LW++,HJK Helsinki,Finland,Finnliiga,64,77,56,61,66,34,59,-1
Marco Huamán,Huamán,RW++,Alianza Lima,Peru,Libertadores,64,70,62,60,65,59,54,-1
Muharem Huskovic,Huskovic,ST++,FK Austria Wien,Austria,Ö. Bundesliga,64,73,62,57,69,20,57,-1
Isaac Hutchinson,Hutchinson,CM++,Bristol Rovers,England,EFL League One,64,72,61,64,66,52,67,-1
Gabriel Iancu,Iancu,ST++,Farul Constanța,Romania,SUPERLIGA,64,63,66,67,67,32,58,-1
Franco Ibarra,Ibarra,CDM++,Rosario Central,Argentina,Libertadores,64,67,45,55,59,65,64,-1
Christopher Ibayi,Ibayi,ST++,AC Ajaccio,Congo,Ligue 2 BKT,64,62,65,48,60,26,66,-1
Sunusi Ibrahim,Ibrahim,ST++,CF Montréal,Nigeria,MLS,64,86,60,53,64,23,70,-1
Emirhan İlkhan,İlkhan,CM++,Torino,Türkiye,Serie A TIM,64,66,58,63,70,50,48,-1
Tomoki Imai,Imai,CB++,Western United,Japan,A-League,64,57,24,48,55,62,77,-1
Sandro Ingolitsch,Ingolitsch,RB++,SCR Altach,Austria,Ö. Bundesliga,64,71,41,58,62,61,65,-1
Jack Iredale,Iredale,CB++,Bolton,Australia,EFL League One,64,72,43,56,58,61,74,-1
Joe Ironside,Ironside,ST++,Doncaster,England,EFL League Two,64,67,63,50,59,41,82,-1
Aziel Jackson,Jackson,CAM++,Columbus Crew,United States,MLS,64,77,57,57,71,33,51,-1
Damian Jakubik,Jakubik,RB++,Radomiak Radom,Poland,PKO BP Ekstraklasa,64,76,32,54,50,60,71,-1
Jeremías James,James,CB++,Dep. Riestra,Argentina,LPF,64,44,33,40,43,64,70,-1
Alexandre Jankewitz,Jankewitz,CDM++,FC Winterthur,Switzerland,CSSL,64,68,57,61,66,58,71,-1
Mohamed Jaouab,Jaouab,CB++,Stade Rennais FC,Morocco,Ligue 1 Uber Eats,64,57,29,42,51,64,65,-1
Paweł Jaroszyński,Jaroszyński,LM++,Cracovia,Poland,PKO BP Ekstraklasa,64,63,53,63,63,64,71,-1
Seedy Jatta,Jatta,ST++,SK Sturm Graz,Norway,Ö. Bundesliga,64,81,61,46,66,26,67,-1
Mikel Jauregizar Alboniga,Jauregizar,CM++,Athletic Club,Spain,LALIGA EA SPORTS,64,60,55,57,62,56,57,-1
Mehdi Jeannin,Jeannin,GK++,Pau FC,Algeria,Ligue 2 BKT,64,66,62,65,66,49,61,-1
Keegan Jelacic,Jelacic,LM++,Brisbane Roar,Australia,A-League,64,74,57,60,65,54,69,-1
Fredrik Oldrup Jensen,Jensen,CDM++,NAC Breda,Norway,Eredivisie,64,50,51,57,60,63,70,-1
Kevin Jensen,Jensen,LW++,Kalmar FF,Sweden,Allsvenskan,64,76,60,59,67,20,47,-1
Anders Finjord Jenssen,Jenssen,CB++,Tromsø IL,Norway,Eliteserien,64,50,32,46,48,63,74,-1
Woo Jae Jeong,Jeong Woo Jae,LB++,Jeonbuk Hyundai,Korea Republic,K League 1,64,73,59,60,66,59,71,-1
Dong Won Ji,Ji Dong Won,ST++,Suwon FC,Korea Republic,K League 1,64,52,64,56,60,40,67,-1
Tao Jian,Jian Tao,GK++,Rongcheng FC,China PR,CSL,64,60,67,57,69,19,64,-1
